00时25分00秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
00时28分44秒     all      6.98      0.00      1.34      0.03      0.00     91.65
00时28分45秒     all      6.50      0.00      1.22      0.00      0.00     92.29
00时28分46秒     all      6.17      0.00      1.35      0.00      0.00     92.49
00时28分47秒     all      7.11      0.00      1.19      0.03      0.00     91.67
00时28分48秒     all      6.04      0.00      0.97      0.00      0.00     93.00
00时28分49秒     all      7.16      0.00      0.94      0.00      0.00     91.90
00时28分50秒     all      6.88      0.00      1.13      0.00      0.00     92.00
00时28分51秒     all      6.61      0.00      0.88      0.00      0.00     92.51
00时28分52秒     all      5.80      0.00      1.13      0.03      0.00     93.04
00时28分53秒     all      6.35      0.00      1.25      0.00      0.00     92.39
00时28分54秒     all      6.87      0.00      1.06      0.00      0.00     92.07
00时28分55秒     all      6.88      0.00      1.31      0.00      0.00     91.81
00时28分56秒     all      6.27      0.00      1.00      0.00      0.00     92.73
00时28分57秒     all      6.13      0.00      1.19      0.00      0.00     92.68
00时28分58秒     all      6.08      0.00      1.13      0.00      0.00     92.79
00时28分59秒     all      6.22      0.00      1.10      0.00      0.00     92.68
00时29分00秒     all      6.62      0.00      1.44      0.03      0.00     91.91
00时29分01秒     all      6.68      0.00      1.12      0.00      0.00     92.20
00时29分02秒     all      6.75      0.00      1.40      0.00      0.00     91.85
00时29分03秒     all      6.57      0.00      1.13      0.00      0.00     92.30
00时29分04秒     all      6.89      0.00      1.09      0.00      0.00     92.02
00时29分05秒     all      7.01      0.00      1.15      0.00      0.00     91.84
00时29分06秒     all      6.49      0.00      0.85      0.00      0.00     92.66
00时29分07秒     all      6.07      0.00      1.41      0.03      0.00     92.49
00时29分08秒     all      6.20      0.00      1.16      0.00      0.00     92.64
00时29分09秒     all      6.27      0.00      1.10      0.00      0.00     92.63
00时29分10秒     all      7.41      0.00      1.03      0.00      0.00     91.56
00时29分11秒     all      6.21      0.00      1.07      0.00      0.00     92.73
00时29分12秒     all      9.74      0.00      1.40      0.00      0.00     88.85
00时29分13秒     all      9.36      0.00      1.16      0.13      0.00     89.36
00时29分14秒     all      8.15      0.00      1.37      0.00      0.00     90.48
00时29分15秒     all      6.38      0.00      1.33      0.03      0.00     92.26
00时29分16秒     all      7.04      0.00      1.01      0.00      0.00     91.95
00时29分17秒     all      6.74      0.00      1.22      0.00      0.00     92.04
00时29分18秒     all      6.97      0.00      1.22      0.00      0.00     91.81
00时29分19秒     all      5.79      0.00      1.62      0.00      0.00     92.59
00时29分20秒     all      5.99      0.00      1.25      0.00      0.00     92.76
00时29分21秒     all      6.59      0.00      1.38      0.00      0.00     92.03
00时29分22秒     all      6.19      0.00      1.10      0.00      0.00     92.71
00时29分23秒     all      7.49      0.00      1.00      0.00      0.00     91.50
00时29分24秒     all      6.36      0.00      1.54      0.00      0.00     92.10
00时29分25秒     all      6.53      0.00      0.88      0.03      0.00     92.56
00时29分26秒     all      6.22      0.00      1.15      0.00      0.00     92.64
00时29分27秒     all      6.88      0.00      0.94      0.00      0.00     92.18
00时29分28秒     all      7.05      0.00      1.10      0.00      0.00     91.85
00时29分29秒     all      7.04      0.00      0.60      0.00      0.00     92.36
00时29分30秒     all      6.25      0.00      1.22      0.00      0.00     92.53
00时29分31秒     all      5.71      0.00      0.94      0.03      0.00     93.32
00时29分32秒     all      6.07      0.00      1.00      0.00      0.00     92.93
00时29分33秒     all      6.78      0.00      1.19      0.00      0.00     92.03
00时29分34秒     all      6.15      0.00      1.10      0.09      0.00     92.65
00时29分35秒     all      7.17      0.00      1.13      0.03      0.00     91.67
00时29分36秒     all      6.05      0.00      0.87      0.00      0.00     93.08
00时29分37秒     all      6.34      0.00      1.03      0.00      0.00     92.63
00时29分38秒     all      6.99      0.00      0.97      0.00      0.00     92.03
00时29分39秒     all      6.36      0.00      1.13      0.00      0.00     92.51
00时29分40秒     all      6.65      0.00      1.10      0.03      0.00     92.22
00时29分41秒     all      6.73      0.00      0.81      0.00      0.00     92.45
00时29分42秒     all      5.75      0.00      0.97      0.00      0.00     93.28
00时29分43秒     all      7.07      0.00      1.31      0.00      0.00     91.62
00时29分44秒     all      6.15      0.00      1.04      0.00      0.00     92.81
00时29分45秒     all      6.31      0.00      0.88      0.03      0.00     92.78
00时29分46秒     all      6.59      0.00      1.03      0.00      0.00     92.38
00时29分47秒     all      6.54      0.00      1.16      0.00      0.00     92.31
00时29分48秒     all      7.08      0.00      1.15      0.00      0.00     91.77
00时29分49秒     all      6.05      0.00      0.88      0.00      0.00     93.07
00时29分50秒     all      5.44      0.00      0.85      0.00      0.00     93.71
00时29分51秒     all      6.80      0.00      1.10      0.00      0.00     92.11
00时29分52秒     all      6.41      0.00      1.28      0.00      0.00     92.30
00时29分53秒     all      6.10      0.00      0.94      0.00      0.00     92.95
00时29分54秒     all      4.68      0.00      0.94      0.00      0.00     94.37
00时29分55秒     all      5.47      0.00      0.94      0.03      0.00     93.56
00时29分56秒     all      5.80      0.00      0.82      0.00      0.00     93.38
00时29分57秒     all      5.80      0.00      1.37      0.00      0.00     92.83
00时29分58秒     all      5.30      0.00      0.76      0.00      0.00     93.95
00时29分59秒     all      6.25      0.00      0.91      0.00      0.00     92.84
00时30分00秒     all      6.20      0.00      1.13      0.00      0.00     92.67
00时30分01秒     all      6.32      0.00      0.84      0.00      0.00     92.83
Average:        all      6.22      0.00      1.10      0.05      0.00     92.63
